Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“Breakfast of Champions – Frühstück für Helden”,"Bruce Willis, Nick Nolte, Will Patton, Alison Eastwood, Michael Clarke Duncan",Tobis/Walt Disney Pictures,1999,105 min.,355,802
“Breaking Up”,"Russell Crowe, Salma Hayek",Warner Bros.,1997,85 min.,469,1469
"""Bride Wars – Beste Feindinnen""","Kate Hudson, Anne Hathaway, Candice Bergen, Kristen Johnston",20th Century Fox,2009,86 min.,,1360
"""Bridget Jones – Schokolade zum Frühstück""","Renée Zellweger, Jim Broadbent, Colin Firth, Hugh Grant, James Callis, Embeth Davidtz, Honor Blackman, Lisa Barbuscia, Salman Rushdie",Universal Pictures / Miramax Films,2001,93 min.,,
"""Bridget Jones – Am Rande des Wahnsinns""","Renée Zellweger, Jim Boradbent, Colin Firth, Hugh Grant, James Callis, Ian McNeice",Universal Pictures / Miramax Films,2004,103 min.,,314
“Bringing out the Dead – Nächte der Erinnerung”,"Nicolas Cage, Patricia Arquette, John Goodman, Ving Rhames, Tom Sizemore, Cliff Curtis",Paramount Pictures/ Touchstone Pictures,1999,116 min.,364,
“Brokedown Palace”,"Claire Danes, Kate Beckinsale, Bill Pullman, Jacqueline Kim, Lou Diamond Phillips, Paul Walker",20th Century Fox,1999,96 min.,,1562
“Broken City”,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright, Barry Pepper, Kyle Chandler, J.D. Evermore",20th Century Fox,2013,104 min.,,Digital Copy
“Brubaker”,"Robert Redford, Yaphet Kotto, Matt Clark (I), Morgan Freeman, M. Emmet Walsh, Noble Willingham, Wilford Brimley",20th Century Fox,1980,125 min.,389,245
“Bruce Allmächtig”,"Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall, Steve Carell, Nora Dunn, Sally Kirkland, Tony Bennett, Max Grodénchik",Universal Pictures,2003,97 min.,,Kauf / 97
“Buck Rogers”,"Gil Gerard, Erin Gray, Tim O’Connor (I), Pamela Hensley, Henry Silva",Universal Pictures,1978,85 min.,,
“Buddy haut den Lukas”,Bud Spencer,Tobis,1980,81 min.,,242
“Bulletproof Monk – Der kugelsichere Mönch”,"Chow Yun-Fat, Seann William Scott",Metro Goldwyn Mayer,2003,100 min.,,113
“C2 Killerinsect”,Alfonso Ribeiro,First Look Pictures,1993,80 min.,317,
“Caddyshack”,"Chevy Chase, Rodney Dangerfield, Bill Murray, Brian Doyle-Murray",Orion Pictures/ Warner Bros.,1980,93 min.,,
“Caddyshack II”,"Chevy Chase, Dan Aykroyd, Randy Quaid, Jonathan Silverman",Warner Bros.,1988,94 min.,272,
“Captain America – The First Avenger”,"Chris Evans, Hayley Atwell, Tommy Lee Jones, Hugo Weaving, Dominic Cooper, Stanley Tucci, Samuel L. Jackson, Neal McDonough, Stan Lee",Paramount Pictures,2011,124 min.,,Kauf (BD)
“Carlito’s Way”,"Al Pacino, Sean Penn, Penelope Ann Miller, Luis Guzmán, John Leguizamo, James Rebhorn, Viggo Mortensen",Universal Pictures,1993,137 min.,407,
“Casanova”,"Heath Ledger, Jeremy Irons, Oliver Platt, Lena Olin",Touchstone Pictures,2005,107 min.,,548
“Casino”,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",Universal Pictures,1995,165 min.,227,1327
“Casino Royale”,"Peter Sellers, Ursula Andress, David Niven, Orson Welles, Woody Allen, Jean-Paul Belmondo, Anjelica Huston, Peter O’Toole",Columbia Pictures,1967,120 min.,496,Kauf
“Cast Away – Verschollen”,"Tom Hanks, Helen Hunt",DreamWorks Pictures/ 20th Century Fox,2000,137 min.,409,Kauf
“Catch me if you can”,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, James Brolin, Jennifer Garner",DreamWorks Pictures,2002,135 min.,,Kauf
“Cats & Dogs – Wie Hund und Katz”,"Jeff Goldblum, Elizabeth Perkins",Warner Bros.,2001,83 min.,,Kauf
“Catwoman”,"Halle Berry, Benjamin Bratt, Sharon Stone",Warner Bros.,2004,99 min.,,395
“Chain of Fools”,"Steve Zahn, Salma Hayek, Jeff Goldblum, Elijah Wood, Orlando Jones, Lara Flynn Boyle",Warner Bros.,2000,94 min.,415,Kauf
“Changeling”,"Angelina Jolie, John Malkovich, Colm Feore, Jeffrey Donovan, Geoff Pierson",Universal Pictures,2008,136 min.,,1379
“Cheech & Chong: Weit und breit kein Rauch in Sicht”,"Cheech Marin, Tommy Chong",Orion Pictures,1984,86 min.,471,
“Chicken Run – Hennen rennen”,,DreamWorks Pictures,2000,81 min.,391,731
“Children of Men”,"Clive Owen, Michael Caine, Julianne Moore",Universal Pictures,2006,104 min.,,745
"""City Heat""","Clint Eastwood, Burt Reynolds, Jane Alexander, Rip Torn, Richard Roundtree, Robert Davi, Art LaFleur, Tab Thacker",Warner Bros.,1984,93 min.,,Digital Copy
“City Slickers 2 – Die goldenen Jungs”,"Billy Crystal, Daniel Stern, Jon Lovitz, Jack Palance",Columbia Pictures/ Castle Rock Entertainment,1994,110 min.,334,
“Cleaner”,"Samuel L. Jackson, Ed Harris, Eva Mendes, Luis Guzmán, Robert Forster",Millennium Films,2007,85 min.,,Digital Copy
“Clockwise – In letzter Sekunde”,John Cleese,Universal Pictures,1986,92 min.,295,
“Cloverfield”,,Paramount Pictures,2008,81 min.,,Kauf
“Club Paradise”,"Robin Williams, Peter O’Toole, Rick Moranis, Eugene Levy, Joanna Cassidy, Brian Doyle-Murray, Bruce McGill",Warner Bros.,1986,91 min.,,Digital Copy
“Clueless”,"Alicia Silverstone, Brittany Murphy, Paul Rudd, Breckin Meyer, Wallace Shawn, Amy Heckerling",Paramount Pictures,1995,97 min.,,Digital Copy
“Collateral Damage”,"Arnold Schwarzenegger, Elias Koteas, Cliff Curtis, John Leguizamo, Miguel Sandoval, Harry J. Lennix, Michael Cavanaugh, Robert Zajonc",Warner Bros.,2002,104 min.,,1609
“Color of Night”,"Bruce Willis, Lesley Ann Warren, Brad Dourif, Lance Henriksen, Jeff Corey, Scott Bakula",Hollywood Pictures,1994,134 min.,348,247
“Colors”,"Sean Penn, Robert Duvall, Grand L. Bush, Don Cheadle, Glenn Plummer, Damon Wayans, Seymour Cassel, Tony Todd",Orion Pitctures,1988,116 min.,,
“Committed”,"Heather Graham, Casey Affleck, Luke Wilson, Patricia Velasquez, Mark Ruffalo, Kim Dickens, Clea DuVall, Mary Kay Place, Dylan Baker, Jon Stewart",Miramax Films,2000,94 min.,522,
“Conan – Der Barbar”,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman, Sven-Ole Thorsen",Universal Pictures,1982,129 min.,,Digital Copy
“Conan – Der Zerstörer”,"Arnold Schwarzenegger, Grace Jones, Jeff Corey, André the Giant",Universal Pictures,1984,97 min.,304,
“Coneheads”,"Dan Aykroyd, Chris Farley, David Spade, Jon Lovitz, Adam Sandler, Michael Richards, Tom Arnold, Ellen DeGeneres",Paramount Pictures,1993,83 min.,489,211
“Cool Runnings”,"Leon, Doug E. Doug, Rawle D. Lewis, Malik Yoba, John Candy, Raymond J. Barry",Walt Disney Pictures,1993,94 min.,,888
“Cool World”,"Brad Pitt, Gabriel Byrne, Kim Basinger",Paramount Pictures,1992,97 min.,,207
“Copykill”,"Sigourney Weaver, Holly Hunter, Will Patton",Warner Bros.,1995,117 min.,342,327
“Corruptor – Im Zeichen der Korruption”,"Chow Yun-Fat, Mark Wahlberg",New Line Cinema,1999,105 min.,457,1204
“Coyote Ugly – Sie wollen alles und das sofort”,"Piper Perabo, John Goodman, Tyra Banks, LeAnn Rimes, Johnny Knoxville",Touchstone Pictures,2000,94 min.,492,
“Crime is King” (s. “3000 Miles to Graceland”),,,,,,
“Critters – Sie sind da!”,"Billy Zane, Ethan Phillips",New Line Cinema,1986,82 min.,361,Digital Copy
“Crocodile Dundee in Los Angeles”,"Paul Hogan, Linda Kozlowski, Mike Tyson, John Billingsley (II)",Paramount Pictures,2001,91 min.,,
“Cuba Libre”,"Sigourney Weaver, John Turturro, Woody Allen, Paul Guilfoyle, Jeffrey Jones, Ryan Phillippe, Denis Leary",Paramount Pictures,2000,83 min.,,311
“Cube”,Nicole de Boer,Viacom Canada,1997,86 min.,383,816
“Curly Sue – Ein Lockenkopf sorgt für Wirbel”,"James Belushi, John Ashton (I)",Warner Bros.,1991,98 min.,320,
“D-Tox – Im Auge der Angst”,"Sylvester Stallone, Charles Dutton, Polly Walker (II), Kris Kristofferson, Tom Berenger, Robert Prosky, Robert Patrick, Sean Patrick Flanery",Universal Pictures,2002,92 min.,474,Kauf
“Daddy ohne Plan”,"Dwayne Johnson, Kyra Sedgwick, Roselyn Sanchez, Morris Chestnut, Paige Turco",Walt Disney Pictures,2007,106 min.,,1107
"""Damien – Omen II""","William Holden, Lance Henriksen",20th Century Fox,1978,102 min.,,528
“Dämonisch”,"Bill Paxton, Matthew McConaughey, Powers Boothe",Lionsgate,2001,95 min.,,951
“Dangerous Minds – Wilde Gedanken”,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",Hollywood Pictures,1995,94 min.,,Digital Copy
“Das ausgekochte Schlitzohr ist wieder auf Achse”,"Burt Reynolds, Sally Field, Jerry Reed (I), Jackie Gleason, Dom DeLuise",Universal Pictures,1980,96 min.,368,
“Das Bombengeschäft”,"Chevy Chase, Sigourney Weaver",Warner Bros.,1983,94 min.,272,
“Das China Syndrom”,"Jane Fonda, Jack Lemmon, Michael Douglas",Columbia Pictures,1979,116 min.,300,610
“Das erstaunliche Leben des Walter Mitty”,"Ben Stiller, Kristen Wiig, Kathryn Hahn, Adam Scott, Adrian Martinez, Joey Slotnick, Shirley MacLaine, Conan O’Brien, Andy Richter, Sean Penn, Patton Oswalt",20th Century Fox,2013,114 min.,,Kauf (BD)
"""Das Experiment""","Moritz Bleibtreu, Christian Berkel, Justus von Dohnányi, Lars Gärtner, Andrea Sawatzki",Senator Film,2001,114 min.,518,
“Das fliegende Auge”,"Roy Scheider, Daniel Stern, Malcolm McDowell",Columbia Pictures,1983,105 min.,439,675
“Das fünfte Element”,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm, Chris Tucker, Brion James, Tom Lister Jr., Luke Perry, John Neville",Columbia Pictures,1997,121 min.,404,676
“Das geheime Fenster”,"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton, Charles S. Dutton",Columbia Pictures,2004,93 min.,,261
“Das Geheimnis meines Erfolges”,"Michael J. Fox, Margaret Whitton, Don Amendolia",Universal Pictures,1986,104 min.,234,Kauf
“Das Geisterschloss”,"Liam Neeson, Catherine Zeta-Jones, Bruce Dern, Virginia Madsen",DreamWorks Pictures,1999,109 min.,354,
“Das Geld anderer Leute”,"Danny DeVito, Penelope Ann Miller, Gregory Peck, Dean Jones (I)",Warner Bros.,1991,96 min.,370,
"""Das gibt Ärger""","Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger, Angela Bassett",20th Century Fox,2012,104 min.,,Kauf (BD)
“Das große Krabbeln”,,Walt Disney Pictures,1998,91 min.,269,1099
“Das Kartell”,"Harrison Ford, Willem Dafoe, James Earl Jones",Paramount Pictures,1994,135 min.,274,77
“Das Leben des Brian”,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, George Harrison",Orion Pictures/ Warner Bros.,1979,90 min.,,Kauf
"""Das Leben stinkt""","Mel Brooks, Lesley Ann Warren, Jeffrey Tambor, Stuart Pankin, Michael Ensign, Billy Barty, Brian Thompson, Robert Ridgely, Stanley Brock",20th Century Fox,1991,91 min.,,133
“Das Mercury Puzzle”,"Bruce Willis, Alec Baldwin",Universal Pictures,1998,107 min.,229,907
“Das Netz – The Net”,Sandra Bullock,Columbia Pictures,1995,102 min.,476,
“Das Omen”,"Gregory Peck, David Warner",20th Century Fox,1976,106 min.,328,926
“Das Omen”,"Liev Schreiber, Julia Stiles, Pete Postlethwaite, Mia Farrow",20th Century Fox,2006,105 min.,,769
“Das Parfum – Die Geschichte eines Mörders”,"Dustin Hoffman, Alan Rickman",Constantin Film,2006,141 min.,,899
“Das perfekte Verbrechen”,"Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike, Embeth Davidtz, Cliff Curtis, Bob Gunton, Xander Berkeley",New Line Cinema/ Castle Rock Entertainment,2007,108 min.,,1011
“Das schwarze Loch”,"Maximilian Schell, Anthony Perkins, Ernest Borgnine",Walt Disney Pictures,1979,91 min.,,79
“Das Schweigen der Hammel”,"Billy Zane, Dom DeLuise, Bubba Smith, Shelley Winters, Mel Brooks",Highlight Film,1993,78 min.,255,
“Das Schweigen der Lämmer”,"Jodie Foster, Anthony Hopkins, Scott Glenn, Anthony Heald, Ted Levine, Frankie Faison, Tracey Walter, Roger Corman, Charles Napier",Metro Goldwyn Mayer/Orion Pictures,1991,113 min.,,Kauf
“Das Schwiegermonster”,"Jennifer Lopez, Jane Fonda",New Line Cinema,2005,97 min.,,465
“Das sonderbare Liebesleben der Erdlinge”,"Carmen Electra, Lucy Liu",Columbia TriStar,1999,87 min.,330,
“Das Todesvirus – Rettung aus dem Eis”,,Greengrass Productions/Panda Productions,2000,84 min.,333,
“Das Tribunal”,"Bruce Willis, Colin Farrell, Terrence Howard, Cole Hauser, Sam Worthington, Christian Kahrmann",Metro Goldwyn Mayer,2002,119 min.,,Kauf
“Das Vermächtnis der Tempelritter”,"Nicolas Cage, Diane Kruger, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer, Gavin Black",Walt Disney Pictures,2004,125 min.,,393
“Das Versprechen”,"Jack Nicholson, Robin Wright, Aaron Eckhart, Patricia Clarkson, Benicio Del Toro, Helen Mirren, Tom Noonan, Vanessa Redgrave, Mickey Rourke, Sam Shepard, Harry Dean Stanton",Warner Bros.,2001,118 min.,,1149
“Das vierte Protokoll”,"Michael Caine, Pierce Brosnan, Ned Beatty, Joanna Cassidy, Julian Glover, Michael Gough, Matt Frewer",Lorimar,1987,114 min.,512,Kauf
"""Date Night""","Steve Carell, Tina Fey, Mark Wahlberg, William Fichtner, Mark Ruffalo, James Franco, Mila Kunis, Ray Liotta",20th Century Fox,2010,97 min.,,Kauf
“Dave”,"Kevin Kline, Sigourney Weaver, Frank Langella, Kevin Dunn (I), Ving Rhames, Ben Kingsley, Charles Grodin, Laura Linney, Jay Leno, Arnold Schwarzenegger, Oliver Stone",Warner Bros.,1993,105 min.,,
“Deadly Revenge”,"Steven Seagal, Gina Gershon",Warner Bros.,1991,82 min.,379,
"""Death at a Funeral""","Keith David, Loretta Devine, Peter Dinklage, Danny Glover, Martin Lawrence, James Marsden, Chris Rock, Zoe Saldana, Luke Wilson",Screen Gems,2010,88 min.,,1510
“Death Race”,"Jason Statham, Joan Allen, Ian McShane, Tyrese Gibson",Universal Pictures,2008,106 min.,,1325
“Death Race 2”,"Luke Goss, Sean Bean, Ving Rhames, Danny Trejo, Fred Koehler",Universal Pictures,2010,98 min.,,Digital Copy
“Death Sentence – Todesurteil”,"Kevin Bacon, Kelly Preston, John Goodman",20th Century Fox,2007,101 min.,,1111
“Deception – Tödliche Versuchung”,"Ewan McGregor, Hugh Jackman, Michelle Williams, Natasha Henstridge, Charlotte Rampling, Lisa Gay Hamilton, Margaret Colin, Maggie Q",20th Century Fox,2008,103 min.,,1356
“Deedles – Die Surfer mit dem Brett vorm Kopf”,Dennis Hopper,Walt Disney Pictures,1998,90 min.,258,
“Deep Blue Sea”,"Saffron Burrows, Samuel L. Jackson, LL Cool J, Ronny Cox",Warner Bros.,1999,100 min.,329,946
“Deep Impact”,"Morgan Freeman, Robert Duvall, James Cromwell, Elijah Wood, Denise Crosby, Vanessa Redgrave, Kurtwood Smith, Maximilian Schell, Una Damon",DreamWorks Pictures/ Paramount Pictures,1998,115 min.,239,Kauf (BD)
“Delicatessen”,"Dominique Pinon, Jean-Claude Dreyfus",Studio Canal,1991,95 min.,,Digital Copy
“Demolition Man”,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne, Benjamin Bratt, Bob Gunton, Denis Leary, Rob Schneider, Troy Evans, Bill Cobbs, Jack Black (I)",Warner Bros.,1993,110 min.,177,Kauf (BD)
“Dennis”,"Walter Matthau, Christopher Lloyd",Warner Bros.,1993,92 min.,314,
“Der 1. Ritter”,"Sean Connery, Richard Gere, Julia Ormond",Columbia Pictures,1995,128 min.,430,
“Der $100.000 Fisch”,"Joe Pesci, Danny Glover, Rosanna Arquette, Willie Nelson, Nick Brimble, Carol Kane, Raynor Scheine, Louise Fletcher",Hollywood Pictures,1997,91 min.,,1191
“Der 13te Krieger”,"Antonio Banderas, Omar Sharif, Erick Avari",Touchstone Pictures/ Walt Disney Pictures,1999,97 min.,430,310
“Der 200 Jahre Mann”,"Robin Williams, Sam Neill, Oliver Platt",Columbia Pictures/ Touchstone Pictures,1999,125 min.,350,
“Der Anschlag”,"Ben Affleck, Morgan Freeman, James Cromwell, Bruce McGill, Philip Baker Hall, Alan Bates, Colm Feore",Paramount Pictures,2002,119 min.,484,47
“Der Appartement-Schreck”,"Ben Stiller, Drew Barrymore, Swoosie Kurtz, Wallace Shawn, Tracey Walter",Miramax Films,2003,85 min.,,262
“Der bewegte Mann”,"Til Schweiger, Joachim Król",Neue Constantin Film,1994,90 min.,469,865
"""Der Chaos-Dad""","Adam Sandler, Andy Samberg, Leighton Meester, Vanilla Ice, James Caan, Blake Clark, Rachel Dratch, Nick Swardson, Susan Sarandon, Alan Thicke, Ian Ziering",Columbia Pictures,2012,110 min.,,Kauf
“Der Chill Faktor”,"Cuba Gooding Jr., David Paymer, Kevin J. O’Connor",Warner Bros.,1999,96 min.,343,
“Der Clou”,"Paul Newman, Robert Redford, Harold Gould (I), Ray Walston, Charles Durning, Dana Elcar",Universal Pictures,1973,123 min.,496,645
“Der Diamanten Cop”,"Martin Lawrence, Dave Chappelle",Columbia Pictures,1999,90 min.,320,
“Der einzige Zeuge”,"Harrison Ford, Kelly McGillis, Josef Sommer, Lukas Haas, Alexander Godunov, Danny Glover, Viggo Mortensen",Paramount Pictures,1985,107 min.,,306
“Der Eisbär”,"Til Schweiger, Benno Fürmann, Peter Maffay, Tom Gerhardt, Heiner Lauterbach",Constantin Film,1998,86 min.,338,
"“Der Engländer, der auf einen Hügel stieg und von einem Berg herunterkam”","Hugh Grant, Ian McNeice, Colm Meaney",Miramax Films,1995,89 min.,16,1348
“Der Exorzist – Director’s Cut”,"Linda Blair, Max von Sydow",Warner Bros.,1973,126 min.,491,633
“Der Fall Mona”,"Danny DeVito, Bette Midler, Neve Campbell, Jamie Lee Curtis, Casey Affleck, William Fichtner, Tracey Walter, Brian Doyle-Murray",Destination Films,2000,92 min.,508,225
“Der Feind in meinem Bett”,Julia Roberts,20th Century Fox,1990,94 min.,274,194
“Der Fluch von Darkness Falls”,,Columbia Pictures,2003,82 min.,,86
“Der gebuchte Mann”,"Jennifer Aniston, Kevin Bacon, Kevin Dunn (I), Olympia Dukakis, Jay Mohr",20th Century Fox,1997,97 min.,236,331
“Der Geist und die Dunkelheit”,"Val Kilmer, Michael Douglas",Constellation Films/ Paramount Pictures,1996,105 min.,,1144
“Der Giftzwerg”,Ed O’Neill (I),20th Century Fox,1991,103 min.,250,
“Der Guru”,"Eddie Murphy, Jeff Goldblum, James Brown (I), Dan Marino, Nino Cerrutti",Touchstone Pictures,1998,109 min.,305,1271
“Der Harte und der Zarte”,"Gene Hackman, Day Aykroyd, Dom DeLuise, Ronny Cox, Leon Rippy",TriStar,1990,90 min.,15,267
“Der Herr der Ringe – Die Gefährten”,"Elijah Wood, Viggo Mortensen, Ian McKellen, Sean Astin, Sean Bean, Orlando Bloom, John Rhys-Davies, Liv Tyler, Ian Holm, Christopher Lee, Hugo Weaving, Cate Blanchett, Andy Serkis",New Line Cinema,2001,171 min./ 218 min. (Ext.),,75/ Kauf (Ext.)
“Der Herr der Ringe – Die zwei Türme”,"Elijah Wood, Viggo Mortensen, Orlando Bloom, Sean Astin, John Rhys-Davies, Ian McKellen, Christopher Lee, Andy Serkis, Cate Blanchett, Brad Dourif, Liv Tyler, Karl Urban, Hugo Weaving, Sean Bean, Peter Jackson, Piripi Waretini",New Line Cinema,2002,172 min./ 214 min. (Ext.),,19/ Kauf (Ext.)
“Der Herr der Ringe – Die Rückkehr des Königs”,"Elijah Wood, Viggo Mortensen, Orlando Bloom, Sean Astin, Ian McKellen, John Rhys-Davies, Andy Serkis, Liv Tyler, Karl Urban, Hugo Weaving, Cate Blanchett, Sean Bean, Ian Holm, Brad Dourif, Christopher Lee, Peter Jackson",New Line Cinema,2003,193 min./ 240 min. (Ext.),,153/ Kauf (Ext.)
“Der Kindergarten Daddy”,"Eddie Murphy, Steve Zahn, Anjelica Huston, Regina King",Columbia Pictures,2003,89 min.,,139
“Der kleine Horrorladen”,"Rick Moranis, Steve Martin, James Belushi, John Candy, Bill Murray",Warner Bros. / The Geffen Company,1986,90 min.,,Digital Copy
“Der Klient”,"Susan Sarandon, Tommy Lee Jones",Warner Bros.,1994,116 min.,278,
“Der Legionär”,"Jean-Claude Van Damme, Steven Berkoff",20th Century Fox,1998,94 min.,,1669
“Der letzte Countdown”,"Kirk Douglas, Martin Sheen, James Farentino, Charles Durning",United Artists,1980,98 min.,,846
“Der letzte Komödiant”,"Billy Crystal, Helen Hunt",Columbia Pictures/ Castle Rock Entertainment/New Line Cinema,1992,113 min.,263,
“Der Mann in der eisernen Maske”,"Leonardo DiCaprio, Gabriel Byrne, Jeremy Irons, John Malkovich, Gérard Depardieu, Peter Sarsgaard",United Artists/Metro Goldwyn Mayer,1998,126 min.,,1041
“Der Mann mit zwei Gehirnen”,"Steve Martin, Kathleen Turner, David Warner, James Cromwell",Warner Bros.,1983,86 min.,279,1636
“Der Mann ohne Gesicht”,"Mel Gibson, Ethan Phillips, Gaby Hoffmann, Margaret Whitton, Richard Masur",Majestic Films,1993,109 min.,236,943
“Der Marathon Mann”,"Dustin Hoffman, Roy Scheider, William Devane, Treat Williams",Paramount Pictures,1976,119 min.,219,1769
“Der Name der Rose”,"Sean Connery, Christian Slater, F. Murray Abraham, Ron Perlman, Michael Lonsdale",Neue Constantin Film,1986,123 min.,222,319
“Der Onkel vom Mars”,"Christopher Lloyd, Jeff Daniels, Daryl Hannah, Elizabeth Hurley, Wallace Shawn, Michael Lerner (I), Ray Walston, Troy Evans",Walt Disney Pictures,1999,89 min.,382,1403
“Der Pakt der Wölfe”,"Vincent Cassel, Monica Bellucci, Mark Dacascos",Le Studio Canal+/ Universal Pictures,2001,137 min.,454,120
“Der Pate”,"Marlon Brando, Al Pacino, Robert Duvall, Diane Keaton, James Caan, Abe Vigoda",Paramount Pictures,1972,167 min.,322,155
“Der Pate – Teil II”,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, James Caan, Abe Vigoda, Danny Aiello",Paramount Pictures,1974,191 min.,324,538
“Der Pate – Teil III”,"Al Pacino, Diane Keaton, Andy Garcia, Bridget Fonda",Paramount Pictures,1990,154 min.,327,539
